"Поисковая фраза (Директ)","Кампания Яндекс.Директа","Визиты","Посетители","Клики","Расходы, RUB","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей"
"Итого и средние","","30270","23673","29702","8462606.600999998","0.24307895606210772","1.254410307234886","00:01:06","4797"
"сантехник спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","856","675","780","422683.85579999996","0.1822429906542056","1.3212616822429906","00:01:14","209"
"сантехник на дом спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","805","625","729","474865.08829999994","0.15900621118012423","1.3118012422360248","00:01:20","200"
"сантехник","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","516","400","520","217377.8518","0.19186046511627908","1.3430232558139534","00:01:26","126"
"сантехник спб на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","198","162","176","123587.27780000001","0.13636363636363635","1.297979797979798","00:01:29","52"
"вызов сантехника на дом спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","189","144","167","86618.37049999999","0.19047619047619047","1.3703703703703705","00:01:35","49"
"вызвать сантехника на дом в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","188","143","165","105049.24220000001","0.10638297872340426","1.3191489361702127","00:01:48","51"
"сантехник на дом спб недорого","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","171","141","158","100292.2159","0.14035087719298245","1.2163742690058479","00:01:24","55"
"сантехник на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","158","126","146","94271.7678","0.189873417721519","1.3860759493670887","00:01:33","50"
"услуги сантехника в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","134","110","131","56589.80269999999","0.1865671641791045","1.507462686567164","00:01:02","23"
"сантехнические работы в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","111","94","112","26188.917899999997","0.14414414414414414","1.7207207207207207","00:01:44","18"
"сантехник спб на дом срочно","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","115","93","102","89334.8542","0.17391304347826086","1.1652173913043478","00:01:55","44"
"сантехник на дом спб срочно","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","101","80","88","71990.8688","0.1782178217821782","1.1287128712871286","00:01:22","33"
"сантехник спб","конверсионные / поиск / спб окл 600 ( N-701641638 )","95","78","83","33499.0454","0.17894736842105263","1.2105263157894737","00:02:03","26"
"услуги сантехника","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","98","77","94","35123.61510000001","0.15306122448979592","1.3571428571428572","00:00:49","15"
"вызвать сантехника","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","84","74","87","44307.892199999995","0.16666666666666663","1.25","00:01:23","17"
"муж на час","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","83","72","96","6500.0","0.6385542168674698","1.1566265060240963","00:00:21","7"
"вызов сантехника","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","80","69","89","47603.36660000001","0.125","1.3625","00:01:34","26"
"установка унитаза цена за работу в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","77","69","70","10203.3071","0.19480519480519484","1.2987012987012987","00:00:37","6"
"муж на час цена в санкт петербурге","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","70","66","75","14500.0","0.44285714285714284","1.0571428571428572","00:00:23","8"
"вызов сантехника на дом недорого спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","77","64","73","37560.909799999994","0.06493506493506493","1.3636363636363635","00:01:37","17"
"вызвать сантехника спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","73","60","71","35394.117600000005","0.2054794520547945","1.2465753424657535","00:01:47","18"
"сантехники спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","73","56","64","25777.2137","0.1780821917808219","1.36986301369863","00:01:31","15"
"сантехник на дом спб","конверсионные / поиск / спб окл 600 ( N-701641638 )","56","54","55","21889.377899999996","0.19642857142857142","1.3214285714285714","00:00:39","8"
"вызов сантехника на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","66","53","66","31240.1064","0.10606060606060605","1.2272727272727273","00:01:18","17"
"вызов сантехника в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","63","49","61","36488.7385","0.15873015873015872","1.1746031746031746","00:01:01","16"
"сантехник 24 спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","53","49","50","20110.2939","0.18867924528301888","1.528301886792453","00:01:43","13"
